point_id,x,y,z,frame_id,stamp_sec,stamp_nanosec
1,9.004194,-7.606888,-0.001434,map,1787046606,91456199
2,-0.824354,3.375957,-0.001434,map,1787046629,868182755
3,-5.926529,9.127841,0.002472,map,1787046645,349635329
4,-14.524052,18.726819,0.002472,map,1787046660,482954613
5,-20.975914,25.927521,0.002472,map,1787046676,95873878
6,-28.275813,34.126998,-0.001434,map,1787046697,898150473
7,-33.878434,40.379218,-0.001434,map,1787046706,375451008
8,-37.622754,44.471427,0.002472,map,1787046713,104775990
9,-38.695244,45.452872,-0.001434,map,1787046731,263687914
10,-39.275792,45.797576,-0.001434,map,1787046734,858635103
11,-39.478703,45.859343,-0.001434,map,1787046738,869528618
12,-41.037560,45.995894,0.002563,map,1787046742,246619135
13,-41.166790,46.049628,-0.001434,map,1787046745,763883278
14,-42.331147,45.833384,0.002563,map,1787046748,3863634
15,-42.710148,45.750167,-0.001434,map,1787046751,864635110
16,-43.580761,45.442801,0.002472,map,1787046755,759236953
17,-44.118699,45.079714,-0.001373,map,1787046763,57571253
18,-53.124489,37.027587,-0.001373,map,1787046773,495859550
19,-57.423855,33.177848,-0.001434,map,1787046790,19975116
20,-69.925152,22.029668,-0.001434,map,1787046798,180397030
21,-75.972332,16.628686,-0.001434,map,1787046814,930313060
22,-81.520817,11.680153,-0.001434,map,1787046829,171282625
23,-81.580052,11.620484,-0.001434,map,1787046877,191323059
24,-83.019047,10.327223,-0.001434,map,1787046881,37632234
25,-83.137562,10.231029,0.002472,map,1787046884,696117127
26,-83.400654,8.678834,0.002472,map,1787046886,531959725
27,-83.449887,8.346780,-0.001434,map,1787046890,809771200
28,-83.166211,6.574444,-0.001434,map,1787046893,955757243
29,-83.118290,6.437820,0.006378,map,1787046897,418703636
30,-82.305592,4.673212,0.006378,map,1787046900,50775742
31,-82.124638,4.525958,-0.001373,map,1787046907,634823836
32,-79.173619,1.224353,-0.001434,map,1787046916,639240530
33,-73.176281,-5.573432,-0.001343,map,1787046926,543831966
34,-65.627575,-14.023477,0.002472,map,1787046932,11127651
35,-59.773686,-20.624378,-0.001434,map,1787046944,987192143
36,-51.817685,-29.629636,-0.001434,map,1787046953,528419079
37,-51.572312,-29.773540,-0.001434,map,1787046958,307615623
38,-50.567383,-30.425350,-0.001434,map,1787046961,289453064
39,-49.813382,-30.702184,-0.001434,map,1787046966,205600241
40,-48.697380,-30.997560,-0.001434,map,1787046967,817606740
41,-48.224289,-31.095790,-0.005341,map,1787046970,375715027
42,-47.137455,-31.179660,-0.001434,map,1787046972,127630082
43,-47.018174,-31.153970,-0.005341,map,1787046975,250098250
44,-46.066285,-30.978940,-0.005341,map,1787046977,949668020
45,-45.775498,-30.723136,0.006439,map,1787046985,906737711
46,-38.075791,-23.972062,0.002472,map,1787046993,788074870
47,-32.127850,-18.776462,0.002472,map,1787047004,130006234
48,-18.529644,-6.928612,-0.001434,map,1787047016,177934540
49,-12.077995,-1.277154,-0.001434,map,1787047028,109456554
50,-6.081069,3.974163,-0.005341,map,1787047036,929290903
51,-20.823529,19.825087,0.002472,map,1787047051,293621114
52,-26.775692,14.475550,-0.001434,map,1787047060,708315966
53,-32.778809,9.126696,0.002472,map,1787047072,67851509
54,-41.674889,1.177676,0.002472,map,1787047079,89337680
55,-56.577099,-12.123354,0.002472,map,1787047099,969915813
56,-59.594231,-14.814025,0.002472,map,1787047104,217056246
57,-34.180100,34.823859,0.002472,map,1787047116,744020990
58,-40.723813,28.927502,-0.001434,map,1787047123,404736028
59,-46.975289,23.276286,-0.005341,map,1787047131,550016090
60,-60.024544,11.476391,-0.001434,map,1787047139,691426410
61,-66.175015,5.927355,0.002472,map,1787047153,889394248
62,-71.574543,1.026993,0.002472,map,1787047164,436363531
63,-49.874669,32.775023,-0.005280,map,1787047254,18400760
64,-47.024781,29.576588,-0.001434,map,1787047263,926631891
65,-40.775227,22.627049,-0.005341,map,1787047274,676313700
66,-33.725907,14.777025,-0.005341,map,1787047286,374489755
67,-27.524800,7.826789,0.002472,map,1787047296,369571899
68,-19.775280,-0.823065,-0.001434,map,1787047307,794692201
69,-69.625355,16.027257,0.002472,map,1787047320,497793805
70,-66.375447,12.377055,-0.001373,map,1787047331,621058427
71,-60.125210,5.327254,0.002472,map,1787047345,590222806
72,-56.825650,1.627283,0.002472,map,1787047356,53446107
73,-43.225197,-13.673176,-0.001434,map,1787047365,741247137
74,-38.625214,-18.822740,0.002472,map,1787047380,945270653
