point_id,x,y,z,frame_id,stamp_sec,stamp_nanosec
1,11.614216,-11.219363,0.002472,map,1787044148,841582832
2,-37.267734,43.419866,-0.005341,map,1787044168,275603521
3,-44.459545,44.295563,0.002563,map,1787044187,987246568
4,-81.760632,10.924854,-0.001434,map,1787044197,8197094
5,-81.153624,2.704872,0.002472,map,1787044209,300372425
6,-51.715894,-30.200012,0.002472,map,1787044218,597302766
7,-44.307127,-30.839298,0.002472,map,1787044224,552697977
8,-6.528076,2.959012,-0.005341,map,1787044231,977227261
9,-22.776997,17.370980,-0.001434,map,1787044242,103640344
10,-42.079852,0.102047,0.002472,map,1787044250,567571242
11,-57.275192,-13.360834,0.002472,map,1787044270,340736183
12,-59.627327,-15.465128,0.002472,map,1787044274,112687820
13,-35.585767,32.643302,-0.001434,map,1787044348,113187168
14,-71.433390,0.572905,-0.001434,map,1787044384,500531727
15,-49.766920,32.338517,0.002472,map,1787044393,185536514
16,-18.882902,-2.182999,0.002533,map,1787044408,367090795
17,-69.099398,14.621543,0.002472,map,1787044419,916864571
18,-56.838045,0.916057,-0.001434,map,1787044433,869924934
19,-43.150343,-14.276017,0.002563,map,1787044439,681027624
20,-38.142503,-19.873677,0.002533,map,1787044450,360946242
