point_id,x,y,z,frame_id,stamp_sec,stamp_nanosec
1,9.043856,-6.900580,-0.001434,map,1787046606,91456199
2,-0.784692,4.082265,-0.001434,map,1787046629,868182755
3,-5.886867,9.834149,0.002472,map,1787046645,349635329
4,-14.484390,19.433127,0.002472,map,1787046660,482954613
5,-20.936252,26.633829,0.002472,map,1787046676,95873878
6,-28.236151,34.833306,-0.001434,map,1787046697,898150473
7,-33.838772,41.085526,-0.001434,map,1787046706,375451008
8,-37.583092,45.177735,0.002472,map,1787046713,104775990
9,-38.655582,46.159180,-0.001434,map,1787046731,263687914
10,-39.236130,46.503884,-0.001434,map,1787046734,858635103
11,-39.439041,46.565651,-0.001434,map,1787046738,869528618
12,-40.997898,46.702202,0.002563,map,1787046742,246619135
13,-41.127128,46.755936,-0.001434,map,1787046745,763883278
14,-42.291485,46.539692,0.002563,map,1787046748,3863634
15,-42.670486,46.456475,-0.001434,map,1787046751,864635110
16,-43.541099,46.149109,0.002472,map,1787046755,759236953
17,-44.079037,45.786022,-0.001373,map,1787046763,57571253
18,-53.084827,37.733895,-0.001373,map,1787046773,495859550
19,-57.384193,33.884156,-0.001434,map,1787046790,19975116
20,-69.885490,22.735976,-0.001434,map,1787046798,180397030
21,-75.932670,17.334994,-0.001434,map,1787046814,930313060
22,-81.481155,12.386461,-0.001434,map,1787046829,171282625
23,-81.540390,12.326792,-0.001434,map,1787046877,191323059
24,-82.979385,11.033531,-0.001434,map,1787046881,37632234
25,-83.097900,10.937337,0.002472,map,1787046884,696117127
26,-83.360992,9.385142,0.002472,map,1787046886,531959725
27,-83.410225,9.053088,-0.001434,map,1787046890,809771200
28,-83.126549,7.280752,-0.001434,map,1787046893,955757243
29,-83.078628,7.144128,0.006378,map,1787046897,418703636
30,-82.265930,5.379520,0.006378,map,1787046900,50775742
31,-82.084976,5.232266,-0.001373,map,1787046907,634823836
32,-79.133957,1.930661,-0.001434,map,1787046916,639240530
33,-73.136619,-4.867124,-0.001343,map,1787046926,543831966
34,-65.587913,-13.317169,0.002472,map,1787046932,11127651
35,-59.734024,-19.918070,-0.001434,map,1787046944,987192143
36,-51.778023,-28.923328,-0.001434,map,1787046953,528419079
37,-51.532650,-29.067232,-0.001434,map,1787046958,307615623
38,-50.527721,-29.719042,-0.001434,map,1787046961,289453064
39,-49.773720,-29.995876,-0.001434,map,1787046966,205600241
40,-48.657718,-30.291252,-0.001434,map,1787046967,817606740
41,-48.184627,-30.389482,-0.005341,map,1787046970,375715027
42,-47.097793,-30.473352,-0.001434,map,1787046972,127630082
43,-46.978512,-30.447662,-0.005341,map,1787046975,250098250
44,-46.026623,-30.272632,-0.005341,map,1787046977,949668020
45,-45.735836,-30.016828,0.006439,map,1787046985,906737711
46,-38.036129,-23.265754,0.002472,map,1787046993,788074870
47,-32.088188,-18.070154,0.002472,map,1787047004,130006234
48,-18.489982,-6.222304,-0.001434,map,1787047016,177934540
49,-12.038333,-0.570846,-0.001434,map,1787047028,109456554
50,-6.041407,4.680471,-0.005341,map,1787047036,929290903
51,-20.783867,20.531395,0.002472,map,1787047051,293621114
52,-26.736030,15.181858,-0.001434,map,1787047060,708315966
53,-32.739147,9.833004,0.002472,map,1787047072,67851509
54,-41.635227,1.883984,0.002472,map,1787047079,89337680
55,-56.537437,-11.417046,0.002472,map,1787047099,969915813
56,-59.554569,-14.107717,0.002472,map,1787047104,217056246
57,-34.140438,35.530167,0.002472,map,1787047116,744020990
58,-40.684151,29.633810,-0.001434,map,1787047123,404736028
59,-46.935627,23.982594,-0.005341,map,1787047131,550016090
60,-59.984882,12.182699,-0.001434,map,1787047139,691426410
61,-66.135353,6.633663,0.002472,map,1787047153,889394248
62,-71.534881,1.733301,0.002472,map,1787047164,436363531
63,-49.835007,33.481331,-0.005280,map,1787047254,18400760
64,-46.985119,30.282896,-0.001434,map,1787047263,926631891
65,-40.735565,23.333357,-0.005341,map,1787047274,676313700
66,-33.686245,15.483333,-0.005341,map,1787047286,374489755
67,-27.485138,8.533097,0.002472,map,1787047296,369571899
68,-19.735618,-0.116757,-0.001434,map,1787047307,794692201
69,-69.585693,16.733565,0.002472,map,1787047320,497793805
70,-66.335785,13.083363,-0.001373,map,1787047331,621058427
71,-60.085548,6.033562,0.002472,map,1787047345,590222806
72,-56.785988,2.333591,0.002472,map,1787047356,53446107
73,-43.185535,-12.966868,-0.001434,map,1787047365,741247137
74,-38.585552,-18.116432,0.002472,map,1787047380,945270653
