point_id,x,y,z,frame_id,stamp_sec,stamp_nanosec
1,8.964533,-8.313197,-0.001434,map,1787046606,91456199
2,-0.864015,2.669648,-0.001434,map,1787046629,868182755
3,-5.966190,8.421532,0.002472,map,1787046645,349635329
4,-14.563713,18.020510,0.002472,map,1787046660,482954613
5,-21.015575,25.221212,0.002472,map,1787046676,95873878
6,-28.315474,33.420689,-0.001434,map,1787046697,898150473
7,-33.918095,39.672909,-0.001434,map,1787046706,375451008
8,-37.662415,43.765118,0.002472,map,1787046713,104775990
9,-38.734905,44.746563,-0.001434,map,1787046731,263687914
10,-39.315453,45.091267,-0.001434,map,1787046734,858635103
11,-39.518364,45.153034,-0.001434,map,1787046738,869528618
12,-41.077221,45.289585,0.002563,map,1787046742,246619135
13,-41.206451,45.343319,-0.001434,map,1787046745,763883278
14,-42.370808,45.127075,0.002563,map,1787046748,3863634
15,-42.749809,45.043858,-0.001434,map,1787046751,864635110
16,-43.620422,44.736492,0.002472,map,1787046755,759236953
17,-44.158360,44.373405,-0.001373,map,1787046763,57571253
18,-53.164150,36.321278,-0.001373,map,1787046773,495859550
19,-57.463516,32.471539,-0.001434,map,1787046790,19975116
20,-69.964813,21.323359,-0.001434,map,1787046798,180397030
21,-76.011993,15.922377,-0.001434,map,1787046814,930313060
22,-81.560478,10.973844,-0.001434,map,1787046829,171282625
23,-81.619713,10.914175,-0.001434,map,1787046877,191323059
24,-83.058708,9.620914,-0.001434,map,1787046881,37632234
25,-83.177223,9.524720,0.002472,map,1787046884,696117127
26,-83.440315,7.972525,0.002472,map,1787046886,531959725
27,-83.489548,7.640471,-0.001434,map,1787046890,809771200
28,-83.205872,5.868135,-0.001434,map,1787046893,955757243
29,-83.157951,5.731511,0.006378,map,1787046897,418703636
30,-82.345253,3.966903,0.006378,map,1787046900,50775742
31,-82.164299,3.819649,-0.001373,map,1787046907,634823836
32,-79.213280,0.518044,-0.001434,map,1787046916,639240530
33,-73.215942,-6.279741,-0.001343,map,1787046926,543831966
34,-65.667236,-14.729786,0.002472,map,1787046932,11127651
35,-59.813347,-21.330687,-0.001434,map,1787046944,987192143
36,-51.857346,-30.335945,-0.001434,map,1787046953,528419079
37,-51.611973,-30.479849,-0.001434,map,1787046958,307615623
38,-50.607044,-31.131659,-0.001434,map,1787046961,289453064
39,-49.853043,-31.408493,-0.001434,map,1787046966,205600241
40,-48.737041,-31.703869,-0.001434,map,1787046967,817606740
41,-48.263950,-31.802099,-0.005341,map,1787046970,375715027
42,-47.177116,-31.885969,-0.001434,map,1787046972,127630082
43,-47.057835,-31.860279,-0.005341,map,1787046975,250098250
44,-46.105946,-31.685249,-0.005341,map,1787046977,949668020
45,-45.815159,-31.429445,0.006439,map,1787046985,906737711
46,-38.115452,-24.678371,0.002472,map,1787046993,788074870
47,-32.167511,-19.482771,0.002472,map,1787047004,130006234
48,-18.569305,-7.634921,-0.001434,map,1787047016,177934540
49,-12.117656,-1.983463,-0.001434,map,1787047028,109456554
50,-6.120730,3.267854,-0.005341,map,1787047036,929290903
51,-20.863190,19.118778,0.002472,map,1787047051,293621114
52,-26.815353,13.769241,-0.001434,map,1787047060,708315966
53,-32.818470,8.420387,0.002472,map,1787047072,67851509
54,-41.714550,0.471367,0.002472,map,1787047079,89337680
55,-56.616760,-12.829663,0.002472,map,1787047099,969915813
56,-59.633892,-15.520334,0.002472,map,1787047104,217056246
57,-34.219761,34.117550,0.002472,map,1787047116,744020990
58,-40.763474,28.221193,-0.001434,map,1787047123,404736028
59,-47.014950,22.569977,-0.005341,map,1787047131,550016090
60,-60.064205,10.770082,-0.001434,map,1787047139,691426410
61,-66.214676,5.221046,0.002472,map,1787047153,889394248
62,-71.614204,0.320684,0.002472,map,1787047164,436363531
63,-49.914330,32.068714,-0.005280,map,1787047254,18400760
64,-47.064442,28.870279,-0.001434,map,1787047263,926631891
65,-40.814888,21.920740,-0.005341,map,1787047274,676313700
66,-33.765568,14.070716,-0.005341,map,1787047286,374489755
67,-27.564461,7.120480,0.002472,map,1787047296,369571899
68,-19.814941,-1.529374,-0.001434,map,1787047307,794692201
69,-69.665016,15.320948,0.002472,map,1787047320,497793805
70,-66.415108,11.670746,-0.001373,map,1787047331,621058427
71,-60.164871,4.620945,0.002472,map,1787047345,590222806
72,-56.865311,0.920974,0.002472,map,1787047356,53446107
73,-43.264858,-14.379485,-0.001434,map,1787047365,741247137
74,-38.664875,-19.529049,0.002472,map,1787047380,945270653
