point_id,x,y,z,frame_id,stamp_sec,stamp_nanosec
1,11.046776,-9.293056,0.002472,map,1786897375,238734393
2,-0.909414,3.944167,-0.005341,map,1786897379,848077351
3,-5.616197,9.227098,-0.005341,map,1786897383,327647496
4,-14.490117,19.201500,-0.001373,map,1786897387,708979841
5,-19.704990,24.937233,-0.001434,map,1786897392,296187742
6,-28.120850,34.332176,-0.001434,map,1786897410,321133977
7,-33.875248,40.752541,-0.005341,map,1786897419,551376937
8,-37.310814,44.564274,0.006378,map,1786897426,657829357
9,-44.378910,45.181438,0.002472,map,1786897432,653525886
10,-52.677608,37.495838,0.002472,map,1786897437,135650025
11,-57.117519,33.777924,0.002472,map,1786897445,842632561
12,-69.928711,22.432196,0.002472,map,1786897450,487260478
13,-75.486404,17.368507,0.002472,map,1786897459,711989071
14,-82.336899,11.786106,-0.001434,map,1786897464,33770233
15,-82.621964,5.669386,0.002472,map,1786897468,476689464
16,-78.383293,0.666463,0.002472,map,1786897472,723027963
17,-73.134117,-5.135944,0.002472,map,1786897477,316799309
18,-64.693199,-14.757498,0.002472,map,1786897481,810772297
19,-59.816750,-20.277508,-0.005341,map,1786897487,257606789
20,-51.040020,-29.285336,0.002472,map,1786897498,784091957
21,-44.607491,-30.159813,0.002472,map,1786897503,12965943
22,-37.910328,-24.052113,0.006378,map,1786897506,437605231
23,-32.509624,-19.168522,-0.001434,map,1786897511,67107807
24,-19.888405,-7.743492,-0.001434,map,1786897516,697259599
25,-13.805804,-2.386960,-0.001434,map,1786897528,329626719
26,-6.382088,4.027853,-0.001434,map,1786897534,714617041
27,-20.584839,20.143545,0.002472,map,1786897547,207812455
28,-27.309395,14.248755,0.002472,map,1786897549,649733111
29,-33.852047,8.594502,-0.001434,map,1786897553,494856233
30,-42.425888,0.635330,0.002472,map,1786897556,628825914
31,-56.968380,-11.990140,0.010284,map,1786897560,686030169
32,-59.340466,-14.316826,0.010284,map,1786897562,572284837
33,-33.799416,35.357170,0.002472,map,1786897567,489817475
34,-40.669655,28.994156,0.002472,map,1786897570,367105783
35,-48.016739,22.691916,-0.005341,map,1786897577,675997121
36,-58.178734,13.467510,0.002472,map,1786897581,450231294
37,-67.128799,5.705657,-0.001434,map,1786897585,448333425
38,-72.490868,0.701248,-0.001434,map,1786897587,749132373
39,-51.431404,34.768936,-0.001434,map,1786897593,978944730
40,-45.944324,28.684275,0.002472,map,1786897598,825095677
41,-41.589474,23.459562,0.002533,map,1786897603,814275906
42,-33.856823,14.898284,0.002472,map,1786897607,608007021
43,-27.805954,7.954433,0.002472,map,1786897613,481383675
44,-19.065521,-1.458071,-0.001434,map,1786897618,70095362
45,-70.186081,16.988567,-0.001434,map,1786897624,669428216
46,-66.372215,12.659139,0.002472,map,1786897627,990638772
47,-60.101109,5.628160,0.002472,map,1786897631,399589557
48,-55.789410,0.924788,-0.001434,map,1786897633,953798917
49,-43.625984,-12.703896,0.002472,map,1786897638,721849810
50,-38.166405,-18.523453,-0.001434,map,1786897641,926537362
