point_id,x,y,z,frame_id,stamp_sec,stamp_nanosec
1,41.535130,45.468994,-0.001434,map,151,63000000
2,25.911627,45.450050,0.002472,map,274,590000000
3,18.878107,45.465496,-0.001434,map,346,53000000
4,3.997631,45.437492,0.002472,map,403,904000000
5,-3.623686,45.437626,0.002472,map,452,747000000
6,-17.751104,45.382656,0.002472,map,495,411000000
7,-24.238495,45.447235,0.348236,map,518,272000000
8,-32.705837,45.407829,0.002472,map,597,265000000
9,-35.651363,41.069653,0.348236,map,480,36000000
10,-35.850433,30.449121,0.002533,map,497,659000000
11,-35.655529,23.957336,-0.001434,map,512,581000000
12,-35.745693,4.545546,0.006378,map,548,423000000
13,-35.721600,-3.819654,-0.005341,map,550,135000000
14,-35.707180,-14.911139,0.002472,map,550,848000000
15,-32.194782,-18.285311,-0.001343,map,562,509000000
16,-24.713440,-18.300375,-0.001434,map,581,367000000
17,-17.156021,-18.280701,0.002472,map,614,316000000
18,-4.288641,-18.288244,0.344299,map,642,416000000
19,3.767562,-18.278074,0.006378,map,693,187000000
20,18.375168,-18.222267,-0.005280,map,713,805000000
21,22.618881,-13.982320,0.006378,map,757,437000000
22,22.409536,-4.552079,-0.001434,map,771,854000000
23,22.697189,4.047202,0.002563,map,801,543000000
24,22.717859,15.905707,0.002472,map,834,595000000
25,22.623793,40.631638,0.002563,map,862,36000000
26,22.465530,32.079140,-0.001434,map,862,898000000
27,-0.062115,40.874146,-0.001434,map,903,666000000
28,-0.031204,31.923882,-0.001434,map,919,184000000
29,-0.072104,23.576624,0.002472,map,1009,266000000
30,-0.207384,10.175785,-0.001434,map,1030,92000000
31,-0.065643,-10.340360,0.006378,map,1063,614000000
32,-0.072468,-14.332028,-0.001434,map,1080,101000000
33,-20.765196,-4.573875,-0.001434,map,1128,656000000
34,-20.798859,-14.282896,-0.001434,map,1147,747000000
35,-20.978722,23.864458,-0.001373,map,1167,22000000
36,-20.964777,4.522426,0.006439,map,1167,186000000
37,-20.810556,41.160557,0.002472,map,1167,509000000
38,-20.831465,31.172068,0.348206,map,1167,615000000
39,-31.634031,27.453310,0.002563,map,1167,726000000
40,-24.209532,27.539734,-0.001434,map,1167,931000000
41,-15.509473,27.379623,-0.001434,map,1168,222000000
42,-3.827354,27.332630,0.002472,map,1168,387000000
43,4.113855,27.349922,0.002472,map,27,416000000
44,17.925512,27.403217,0.002472,map,67,656000000
45,-30.875181,0.027015,0.348206,map,106,470000000
46,-24.359205,0.036807,0.002533,map,122,789000000
47,-17.361521,0.065321,-0.005341,map,148,352000000
48,-11.036992,0.096446,-0.001434,map,171,706000000
49,11.423479,0.005645,-0.005341,map,200,209000000
50,18.831589,0.030348,0.002472,map,226,16000000
