point_id,x,y,z,frame_id,stamp_sec,stamp_nanosec
1,3.084536,-1.541216,-0.001434,map,1786343716,461091928
2,-2.419407,0.924208,-0.001434,map,1786343719,612916039
3,-9.018561,4.356244,-0.005341,map,1786343724,325182243
4,-17.751480,8.612031,-0.005341,map,1786343726,710166879
5,-24.183699,12.291195,-0.001434,map,1786343730,893284844
6,-35.201061,17.909595,-0.005341,map,1786343736,282349545
7,-43.316807,22.286259,-0.001434,map,1786343741,5220039
8,-53.090469,27.055677,0.002472,map,1786343745,401666411
9,-61.068764,31.353346,0.002472,map,1786343750,104818281
10,-67.056381,34.054905,0.002472,map,1786343753,271341153
11,-71.472824,31.821739,0.002472,map,1786343770,114016715
12,-75.275589,24.234098,0.002472,map,1786343773,757596435
13,-79.020363,16.053978,-0.001434,map,1786343780,929579841
14,-87.038078,0.734480,0.002472,map,1786343785,409448086
15,-90.601280,-6.645496,0.002472,map,1786343788,945577754
16,-94.237236,-13.516060,-0.001434,map,1786343792,662714149
17,-92.859657,-19.280128,0.002472,map,1786343801,257858542
18,-88.056229,-21.714869,0.002472,map,1786343804,377578318
19,-79.454422,-26.181389,0.002472,map,1786343809,57699726
20,-69.752769,-31.148731,-0.001434,map,1786343814,59397594
21,-61.421585,-35.628880,0.002472,map,1786343820,286123194
22,-51.168945,-40.913536,0.002472,map,1786343825,707354321
23,-45.637146,-39.381226,0.002472,map,1786343829,657889426
24,-41.834396,-32.944241,-0.001434,map,1786343832,458207603
25,-37.353123,-23.995564,-0.001434,map,1786343836,473849503
26,-32.487579,-15.646396,0.002472,map,1786343842,665954609
27,-25.517439,-0.645735,-0.001434,map,1786343847,950061743
28,-21.764725,5.391021,-0.001434,map,1786343850,281918526
29,-41.034592,15.371635,-0.001434,map,1786343857,369868827
30,-44.638988,9.518607,-0.001434,map,1786343860,82188266
31,-48.371212,1.135228,-0.001343,map,1786343862,746082499
32,-54.250729,-10.136325,-0.001343,map,1786343866,301886942
33,-62.497093,-26.123962,-0.001343,map,1786343870,762180355
34,-64.312073,-29.804470,-0.001343,map,1786343873,378125326
35,-58.358330,25.634415,-0.001434,map,1786343877,606385537
36,-62.652939,17.634424,-0.001343,map,1786343879,882667051
37,-66.199280,9.566305,-0.001434,map,1786343883,146280640
38,-73.408073,-4.567865,-0.001343,map,1786343885,562390674
39,-78.334557,-13.041946,-0.001434,map,1786343888,633549218
40,-81.581078,-19.712864,-0.001343,map,1786343891,178928556
41,-73.203270,18.921398,-0.001373,map,1786343896,974463140
42,-68.039574,16.237673,-0.001343,map,1786343898,950374001
43,-59.879341,11.880413,0.002472,map,1786343901,714379822
44,-50.496609,7.146132,0.002472,map,1786343904,42378642
45,-42.055786,2.387904,0.002472,map,1786343907,310503328
46,-31.772541,-2.927270,-0.005341,map,1786343909,499003012
47,-85.658478,-4.349056,0.002472,map,1786343918,466589294
48,-80.284447,-6.788809,-0.005341,map,1786343920,670712089
49,-72.245796,-11.026788,0.002472,map,1786343924,802619977
50,-67.714195,-13.350361,-0.005341,map,1786343927,530655471
51,-50.063717,-22.986736,0.002472,map,1786343930,770575263
52,-42.685329,-25.920254,-0.005341,map,1786343933,830417966
